brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded,Colors
Rick Owens,Black Moncler Edition Patch Cap,330,mens,Patch Cap,Cap,0,454,30,Black
Justine Clenquet,SSENSE Exclusive Green & Black Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127,"Black, Green"
Justine Clenquet,SSENSE Exclusive Black Neve Sunglasses,280,mens,Neve Sunglasses,Sunglasses,0,268,127,Black
Justine Clenquet,SSENSE Exclusive Orange Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127,Orange
Justine Clenquet,SSENSE Exclusive Black Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127,Black
Justine Clenquet,SSENSE Exclusive Brown Neve Sunglasses,280,mens,Neve Sunglasses,Sunglasses,0,268,127,Brown
Burberry,Khaki Bradford Reversible Coat,3650,mens,Reversible Coat,Coat,0,85,39,Khaki
Burberry,Beige & Black Vintage Check Reversible Down Jacket,2350,mens,Down Jacket,Jacket,0,85,70,"Black, Beige"
Burberry,Yellow & Gray Check Cap,530,mens,Check Cap,Cap,0,85,30,"Gray, Yellow"
Burberry,Blue & White Check Cap,530,mens,Check Cap,Cap,0,85,30,"Blue, White"
We11done,Gray Oversized Blazer,845,mens,Oversized Blazer,Blazer,0,581,9,Gray
We11done,Black Oversized Blazer,845,mens,Oversized Blazer,Blazer,0,581,9,Black
We11done,Blue 1506 Denim Jacket,480,mens,Denim Jacket,Jacket,0,581,70,Blue
We11done,Black 1506 Denim Jacket,480,mens,Denim Jacket,Jacket,0,581,70,Black
We11done,Black Oversized Denim Jacket,500,mens,Denim Jacket,Jacket,0,581,70,Black
We11done,Blue Oversized Denim Jacket,500,mens,Denim Jacket,Jacket,0,581,70,Blue
We11done,Black Zip Jacket,490,mens,Zip Jacket,Jacket,0,581,70,Black
We11done,Black Painted Hoodie,640,mens,Painted Hoodie,Hoodie,0,581,67,Black
We11done,Gray Pocket Cardigan,395,mens,Pocket Cardigan,Cardigan,0,581,31,Gray
We11done,Black Pocket Cardigan,395,mens,Pocket Cardigan,Cardigan,0,581,31,Black
We11done,Blue & Brown Raglan Jacket,695,mens,Raglan Jacket,Jacket,0,581,70,"Blue, Brown"
We11done,Brown & Yellow Raglan Jacket,695,mens,Raglan Jacket,Jacket,0,581,70,"Yellow, Brown"
We11done,Gray Wappen Hoodie,425,mens,Wappen Hoodie,Hoodie,0,581,67,Gray
We11done,Gray JQD Sweater,430,mens,JQD Sweater,Sweater,0,581,128,Gray
We11done,Gray Jacquard Sweater,535,mens,Jacquard Sweater,Sweater,0,581,128,Gray
We11done,Black Jacquard Sweater,535,mens,Jacquard Sweater,Sweater,0,581,128,Black
We11done,Black JQD Sweater,430,mens,JQD Sweater,Sweater,0,581,128,Black
We11done,Black Graphic Long Sleeve T-Shirt,590,mens,Sleeve T-Shirt,T-Shirt,0,581,132,Black
We11done,White 3/4 Shirt,590,mens,3/4 Shirt,Shirt,0,581,108,White
We11done,Black 3/4 Shirt,590,mens,3/4 Shirt,Shirt,0,581,108,Black
We11done,Gray Necklace Teddy T-Shirt,360,mens,Teddy T-Shirt,T-Shirt,0,581,132,Gray
We11done,Navy Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132,Navy
We11done,Gray Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132,Gray
We11done,Black Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132,Black
We11done,White Teddy Bear T-Shirt,265,mens,Bear T-Shirt,T-Shirt,0,581,132,White
We11done,Black Teddy Bear T-Shirt,265,mens,Bear T-Shirt,T-Shirt,0,581,132,Black
We11done,Gray Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132,Gray
We11done,White Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132,White
We11done,Black Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132,Black
We11done,Off-White Embroidered T-Shirt,210,mens,Embroidered T-Shirt,T-Shirt,0,581,132,White
We11done,White Printed T-Shirt,300,mens,Printed T-Shirt,T-Shirt,0,581,132,White
We11done,Black Teddy T-Shirt,305,mens,Teddy T-Shirt,T-Shirt,0,581,132,Black
We11done,White Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132,White
We11done,Gray Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132,Gray
We11done,Black Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132,Black
We11done,Gray Teddy T-Shirt,325,mens,Teddy T-Shirt,T-Shirt,0,581,132,Gray
We11done,Off-White Teddy T-Shirt,305,mens,Teddy T-Shirt,T-Shirt,0,581,132,White
We11done,Black Necklace Teddy T-Shirt,360,mens,Teddy T-Shirt,T-Shirt,0,581,132,Black
We11done,Black Overdyed T-Shirt,385,mens,Overdyed T-Shirt,T-Shirt,0,581,132,Black
We11done,White Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132,White
We11done,Gray Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132,Gray
We11done,Black Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132,Black
We11done,Black Printed T-Shirt,300,mens,Printed T-Shirt,T-Shirt,0,581,132,Black
We11done,Black Basic Large T-Shirt,275,mens,Large T-Shirt,T-Shirt,0,581,132,Black
We11done,Black Printed T-Shirt,160,mens,Printed T-Shirt,T-Shirt,0,581,132,Black
We11done,Black Painted Sweatpants,505,mens,Painted Sweatpants,Sweatpants,0,581,129,Black
We11done,Black Logo On Front Cap,155,mens,Front Cap,Cap,0,581,30,Black
We11done,Gray WD One Logo Cap,170,mens,Logo Cap,Cap,0,581,30,Gray
We11done,Black WD One Logo Cap,170,mens,Logo Cap,Cap,0,581,30,Black
We11done,Black Logo Cap,210,mens,Logo Cap,Cap,0,581,30,Black
ZEGNA,Green Three-Button Polo,535,mens,Three-Button Polo,Polo,0,600,96,Green
ZEGNA,Taupe Three-Button Polo,535,mens,Three-Button Polo,Polo,0,600,96,Taupe
Versace Jeans Couture,Black Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132,Black
Versace Jeans Couture,Blue Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132,Blue
Versace Jeans Couture,Khaki Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132,Khaki
Versace Jeans Couture,White Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132,White
Versace Jeans Couture,Black V-Emblem T-Shirt,120,mens,V-Emblem T-Shirt,T-Shirt,0,569,132,Black
Versace Jeans Couture,White V-Emblem T-Shirt,120,mens,V-Emblem T-Shirt,T-Shirt,0,569,132,White
Versace Jeans Couture,Black Watercolor Couture T-Shirt,225,mens,Couture T-Shirt,T-Shirt,0,569,132,Black
Versace Jeans Couture,White Watercolor Couture T-Shirt,225,mens,Couture T-Shirt,T-Shirt,0,569,132,White
Versace Jeans Couture,Black Drawstring Sweatpants,220,mens,Drawstring Sweatpants,Sweatpants,0,569,129,Black
Versace Jeans Couture,White Drawstring Sweatpants,220,mens,Drawstring Sweatpants,Sweatpants,0,569,129,White
NEEDLES,Black C.P. Coat,620,mens,C.P. Coat,Coat,0,366,39,Black
NEEDLES,Khaki C.P. Coat,620,mens,C.P. Coat,Coat,0,366,39,Khaki
NEEDLES,Black C.P. Jacket,525,mens,C.P. Jacket,Jacket,0,366,70,Black
NEEDLES,Black Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31,Black
NEEDLES,Navy Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31,Navy
NEEDLES,Green Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31,Green
NEEDLES,Pink Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31,Pink
NEEDLES,Indigo M.W. Denim Jacket,455,mens,Denim Jacket,Jacket,0,366,70,Indigo
NEEDLES,Green Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70,Green
