brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded
ICECREAM,Indigo Running Dog Jeans,190,mens,Dog Jeans,Jeans,0,245,72
ICECREAM,Blue Running Dog Jeans,190,mens,Dog Jeans,Jeans,0,245,72
ICECREAM,Gray Ancient Sweatpants,145,mens,Ancient Sweatpants,Sweatpants,0,245,129
Isabel Marant,Blue Jack Jeans,350,mens,Jack Jeans,Jeans,0,251,72
A.P.C.,Beige Lou Trench Coat,1060,mens,Trench Coat,Coat,0,12,39
A.P.C.,Navy Urban Coat,610,mens,Urban Coat,Coat,0,12,39
A.P.C.,Black Bob Faux-Leather Jacket,600,mens,Faux-Leather Jacket,Jacket,0,12,70
A.P.C.,Taupe Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70
A.P.C.,Blue US Denim Jacket,365,mens,Denim Jacket,Jacket,0,12,70
A.P.C.,Indigo Stitching Denim Jacket,365,mens,Denim Jacket,Jacket,0,12,70
A.P.C.,Green Kerlouan Jacket,400,mens,Kerlouan Jacket,Jacket,0,12,70
A.P.C.,Navy Kerlouan Jacket,400,mens,Kerlouan Jacket,Jacket,0,12,70
A.P.C.,White Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70
A.P.C.,Blue Edouard Shirt,230,mens,Edouard Shirt,Shirt,0,12,108
A.P.C.,Navy Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70
A.P.C.,Black Joe Cardigan,365,mens,Joe Cardigan,Cardigan,0,12,31
A.P.C.,Navy Joe Cardigan,365,mens,Joe Cardigan,Cardigan,0,12,31
A.P.C.,Blue Malo Shirt,265,mens,Malo Shirt,Shirt,0,12,108
A.P.C.,White Greg Shirt,245,mens,Greg Shirt,Shirt,0,12,108
A.P.C.,Blue Greg Shirt,245,mens,Greg Shirt,Shirt,0,12,108
A.P.C.,Blue Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128
A.P.C.,Navy Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128
A.P.C.,Green Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128
A.P.C.,Gray Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128
A.P.C.,Black & Off-White Alec Sweater,390,mens,Alec Sweater,Sweater,0,12,128
A.P.C.,Yellow Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128
A.P.C.,Off-White Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128
A.P.C.,Gray Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128
A.P.C.,Black Larry Hoodie,295,mens,Larry Hoodie,Hoodie,0,12,67
A.P.C.,Blue Larry Hoodie,310,mens,Larry Hoodie,Hoodie,0,12,67
A.P.C.,Khaki Larry Hoodie,310,mens,Larry Hoodie,Hoodie,0,12,67
A.P.C.,Gray Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67
A.P.C.,Purple Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67
A.P.C.,Navy Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67
A.P.C.,Gray Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Black Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Navy Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Navy Rufus Sweatshirt,285,mens,Rufus Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Black Rufus Sweatshirt,285,mens,Rufus Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Navy Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Black Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Gray Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Off-White Rider Sweatshirt,285,mens,Rider Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Black VPC Sweatshirt,270,mens,VPC Sweatshirt,Sweatshirt,0,12,130
A.P.C.,Black Oliver Long Sleeve T-Shirt,150,mens,Sleeve T-Shirt,T-Shirt,0,12,132
A.P.C.,Navy Olivier Long Sleeve T-Shirt,150,mens,Sleeve T-Shirt,T-Shirt,0,12,132
A.P.C.,Green Antoine Polo,210,mens,Antoine Polo,Polo,0,12,96
A.P.C.,White Austin Polo,175,mens,Austin Polo,Polo,0,12,96
A.P.C.,Navy Austin Polo,175,mens,Austin Polo,Polo,0,12,96
A.P.C.,Green Austin Polo,175,mens,Austin Polo,Polo,0,12,96
A.P.C.,Blue Austin Polo,175,mens,Austin Polo,Polo,0,12,96
A.P.C.,Green Emilien T-Shirt,190,mens,Emilien T-Shirt,T-Shirt,0,12,132
A.P.C.,Navy Emilien T-Shirt,190,mens,Emilien T-Shirt,T-Shirt,0,12,132
A.P.C.,White Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132
